No Notifications,Không có thông báo,
Unread,Chưa đọc,
All,Tất cả,
Mark all as Read,Đánh dấu tất cả là Đã đọc,
Subject,Chủ đề ,
Message,Thông điệp,
No personal files,Không có tập tin cá nhân,
"Try changing filters, maybe?","Có thể thử thay đổi bộ lọc không?",
"You don't have any files yet","Bạn chưa có tập tin nào",
Drop files here,Thả tập tin vào đây,
Filter,Bộ lọc,
Sign In,Đăng nhập,
Folder,Thư mục,
Image,Hình ảnh,
Audio,Âm thanh,
Video,Video,
PDF,PDF,
Document,Tài liệu,
Spreadsheet,Bảng tính,
Archive,Lưu trữ,
Presentation,Bản trình bày,
Unknown,Không xác định,
Upload,Tải lên,
Upload File,Tải lên tệp,
Upload Folder,Tải lên thư mục,
New...,Mới...,
New Link,Liên kết mới,
Name,ID,
Owner,Chủ sở hữu,
Modified,Đã sửa đổi,
Size,Kích thước,
Type,Loại,
Home,Trang chủ,
Team,Nhóm,
Notifications,Thông báo,
Search,Tìm kiếm,
Recents,Gần đây,
Favourites,Yêu thích,
Shared,Đã chia sẻ,
Trash,Thùng rác,
Preview,Xem trước,
Open,Mở,
Download,Tải xuống,
Share,Chia sẻ,
Get Link,Nhận liên kết,
Rename,Đổi tên,
Move,Di chuyển,
Move to Team,Di chuyển đến Nhóm,
Are you sure you want to move,Bạn có chắc chắn muốn di chuyển,
item,mục,
items,mục,
to the team?,đến nhóm không?,
Show Info,Hiển thị thông tin,
Hide Info,Ẩn thông tin,
Favourite,Yêu thích,
Unfavourite,Không yêu thích,
Remove from Recents,Xóa khỏi mục Gần đây,
Unshare,Bỏ chia sẻ,
Move to Trash,Di chuyển đến thùng rác,
Sharing,Chia sẻ,
Permissions,Quyền,
Preferences,Tùy chọn,
Access Until,Truy cập cho đến khi,
Selected documents will remain shared until,Các tài liệu đã chọn sẽ vẫn được chia sẻ cho đến khi,
Selected documents will remain shared indefinitely,Các tài liệu đã chọn sẽ vẫn được chia sẻ vô thời hạn,
share with...,chia sẻ với...,
Select people,Chọn người,
People with access,Những người có quyền truy cập,
Yet to be shared,Chưa được chia sẻ,
You,Bạn,
General access,Quyền truy cập chung,
Restricted,Bị hạn chế,
Public,Công khai,
Read,Đọc,
Comment,Bình luận,
Share,Chia sẻ,
Write,Viết,
Limited to people with access.,Chỉ giới hạn cho những người có quyền truy cập.,
"Anyone on this planet can","Bất cứ ai trên hành tinh này đều có thể ",
" this file."," tập tin này.",
Manage,Quản lý,
Can,Có thể,
Remove,Xóa,
read,đọc,
comment,bình luận,
write,viết,
share,chia sẻ,
Moving,Di chuyển,
Go to...,Đi tới...,
No results for,Không có kết quả cho,
Jump to,Nhảy tới,
Folder is Empty,Thư mục trống,
Information,Thông tin,
Access,Truy cập,
Tags,Thẻ,
Properties,Thuộc tính,
Size,Kích thước,
Uploaded,Đã tải lên,
Comments,Bình luận,
This file has no tags,Tệp này không có thẻ,
No tags found,Không tìm thấy thẻ,
Create tag,Tạo thẻ,
Add a comment,Thêm bình luận,
Activity,Hoạt động,
No file selected,Không có tệp nào được chọn,
"will be moved to Trash. Items in trash are deleted forever after 30 days.","sẽ được chuyển vào Thùng rác. Các mục trong thùng rác sẽ bị xóa vĩnh viễn sau 30 ngày.,",
Selected items will not be shared with you anymore and you will lose access to them.,Các mục đã chọn sẽ không được chia sẻ với bạn nữa và bạn sẽ mất quyền truy cập vào chúng.,
Selected items will be restored to their original locations.,Các mục đã chọn sẽ được khôi phục về vị trí ban đầu của chúng.,
Restore Items,Khôi phục các mục,
Restore,Khôi phục,
this item,mục này,
Delete Forever?,Xóa vĩnh viễn?,
This item,Mục này,
will be deleted forever. This is an irreversible process.,sẽ bị xóa vĩnh viễn. Đây là một quá trình không thể đảo ngược.,
"Delete — forever","Xóa — mãi mãi",
Home is empty,Trang chủ trống rỗng,
Last Accessed,Lần truy cập cuối cùng,
Clear,Xóa,
Empty Trash,Dọn sạch thùng rác,
No Recent Files,Không có tập tin gần đây,
Annotations,Chú thích,
Trash is Empty,Thùng rác trống rỗng,
Storage,Lưu trữ,
"3.5GB used out of 50GB","Đã sử dụng 3,5 GB trong tổng số 50 GB",
used out of,đã sử dụng hết,
Uploading,Đang tải lên,
file,tệp,
files,tệp,
upload,tải lên,
uploads,tải lên,
complete,hoàn tất,
failed,thất bại,
In Progress,Đang tiến hành,
Completed,Hoàn tất,
Failed,Thất bại,
Upload failed,Tải lên không thành công,
Cancel uploads,Hủy tải lên,
Are you sure you want to cancel all ongoing uploads?,Bạn có chắc chắn muốn hủy tất cả các lần tải lên đang diễn ra không?,
Confirm,Xác nhận,
No uploads in progress,Không có lần tải lên nào đang tiến hành,
No uploads completed,Không có lần tải lên nào hoàn tất,
No failed uploads,Không có lần tải lên nào không thành công,
No uploads completed,Không có lần tải lên nào hoàn tất,
Change,Thay đổi,
Go to,Đi đến,
No other teams,Không có nhóm nào khác,
Apps,Ứng dụng,
Documentation,Tài liệu,
Support,Hỗ trợ,
Settings,Cài đặt,
Log out,Đăng xuất,
Profile,Hồ sơ
Users,Người dùng,
Edit Profile,Chỉnh sửa hồ sơ,
Profile Photo,Ảnh hồ sơ,
Add Image,Thêm ảnh,
First Name,Tên,
Last Name,Họ,
Single click to open files and folders,Nhấp một lần để mở tệp và thư mục,
Group folders before files,Nhóm thư mục trước tệp,
Edit profile,Chỉnh sửa hồ sơ,
Invite,Mời,
Invite people to,Mời mọi người,
Send Invitation,Gửi lời mời,
Enter email address,Nhập địa chỉ email,
Are you sure?,Bạn có chắc không?,
Removing,Xóa,
will completely revoke their access to your team. You can always add them back using the same email ID,sẽ thu hồi hoàn toàn quyền truy cập của họ vào nhóm của bạn. Bạn luôn có thể thêm họ trở lại bằng cùng một ID email,
I confirm that I want to remove,Tôi xác nhận rằng tôi muốn xóa,
You have,Bạn có,
The team has,Nhóm đã,
used,sử dụng,
out of,hết,
your,của bạn,
No Storage Used,Không sử dụng dung lượng lưu trữ,
Large Files,Tệp lớn,
No files found,Không tìm thấy tệp nào,
New,Mới,
No Tags,Không có thẻ,
Delete Tag,Xóa thẻ,
Are you sure you want to delete the tag,Bạn có chắc chắn muốn xóa thẻ không,
This action cannot be undone,Hành động này không thể hoàn tác,
New Tag,Thẻ mới,
Color,Màu sắc,
Set Color,Thiết lập màu sắc,
Title,Tiêu đề,
Edit Tag,Chỉnh sửa thẻ,
No users found,Không tìm thấy người dùng,
Clear all,Xóa tất cả,
Select users,Chọn người dùng,
Can Edit,Có thể chỉnh sửa,
Can View,Có thể xem,
All your recently viewed files will be cleared.,Tất cả các tệp bạn đã xem gần đây sẽ bị xóa.,
All your favourite items will be cleared.,Tất cả các mục yêu thích của bạn sẽ bị xóa.,
"All items in your Trash will be deleted forever. This is an irreversible process.","Tất cả các mục trong Thùng rác của bạn sẽ bị xóa vĩnh viễn. Đây là một quá trình không thể đảo ngược.",
selected,đã chọn,
Cannot open file,Không thể mở tệp,
New Folder,Thư mục mới,
folder name...,tên thư mục...,
This folder already exists.,Thư mục này đã tồn tại.,
This file already exists.,Tệp này đã tồn tại.,
Add User,Thêm người dùng,
Users in this Group,Người dùng trong nhóm này,
No Favourite Files,Không có tập tin yêu thích,
No Shared Files,Không có tập tin chia sẻ,
With you,Với bạn,
By you,Bởi bạn,
Add files by dropping them here,Thêm tệp bằng cách thả chúng vào đây,
Collapse,Thu gọn,
Expand,Mở rộng,
Properties,Thuộc tính,
Frappe Doc,Frappe Doc,
Stats,Thống kê,
Words,Từ,
Characters,Ký tự,
Reading Time,Thời gian đọc,
Versions,Phiên bản,
No previous versions available for the current document,Không có phiên bản trước nào khả dụng cho tài liệu hiện tại,
Style,Kiểu,
TITLE,TIÊU ĐỀ,
Subtitle,Phụ đề,
Heading,Đầu tiêu đề,
CONTENT,NỘI DUNG,
Strong,Mạnh,
Body,Nội dung,
Caption,Chú thích,
GROUPS,NHÓM,
DECORATIONS,TRANG TRÍ,
Block,Khối,
Focus,Tiêu điểm,
TEXT COLOR,MÀU VĂN BẢN,
BACKGROUND COLOR,MÀU NỀN,
FONT,PHÔNG CHỮ,
Sans,Sans,
Serif,Serif,
Mono,Mono,
Round,Tròn,
Insert,Chèn,
Media,Phương tiện,
Break,Ngắt,
Rule,Quy tắc,
Page Break,Ngắt trang,
Table,Bảng,
New Table,Bảng mới,
Default Font,Phông chữ mặc định,
Import,Nhập,
Import DOCX,Nhập DOCX,
Export,Nhập DOCX,
Export PDF,Xuất PDF,
Text Color,Màu văn bản,
Background Color,Màu nền,
Insert Image,Chèn hình ảnh,
Set Link,Đặt liên kết,
Edit Link,Chỉnh sửa liên kết,
Add Video,Thêm video,
Change Video,Thay đổi video,
Upload Video,Tải video lên,
Insert Video,Chèn video,
Undo,Hoàn tác,
New File,Tệp mới,
Redo,Làm lại,
Cut,Cắt,
Copy,Sao chép,
Paste,Dán,
Paste without Formatting,Dán không định dạng,
Select All,Chọn tất cả,
Find and Replace,Tìm và thay thế,
New Window,Cửa sổ mới,
Mode,Chế độ,
Text Width,Chiều rộng văn bản,
Focus Mode,Chế độ lấy nét,
Full screen,Toàn màn hình,
Horizontal Line,Dòng ngang,
Emoji,Biểu tượng cảm xúc,
Blockquote,Trích dẫn,
Text,Văn bản,
Alignment,Căn chỉnh,
Line Height,Chiều cao dòng,
List and Numbering,Danh sách và đánh số,
Format,Định dạng,
Current File,Tệp hiện tại,
Share File,Chia sẻ tệp,
Add to favourites,Thêm vào mục yêu thích,
Open File,Mở tệp,
Delete File,Xóa tệp,
